pid,name,cpu_percent
15820,UI_Main.exe,0
15840,RuntimeBroker.exe,0
15864,chrome.exe,0
15888,svchost.exe,0
15960,gopls.exe,0
15976,svchost.exe,0
16052,wslhost.exe,0
16124,Win32Bridge.Server.exe,0
16144,docker.exe,0
16184,vmwp.exe,0
16220,svchost.exe,0
16244,slack.exe,0
16276,slack.exe,0
16348,steamwebhelper.exe,0
16376,conhost.exe,0
16392,CtxWebBrowser.exe,0
16440,conhost.exe,0
16484,svchost.exe,0
16540,conhost.exe,0
16548,concentr.exe,0
16560,conhost.exe,0
16572,steam.exe,0
16584,RuntimeBroker.exe,0
16596,RemediationService.exe,0
16636,SelfServicePlugin.exe,0
16732,chrome.exe,0
16816,conhost.exe,0
16956,chrome.exe,0
17056,VPNht.exe,0
17104,Receiver.exe,0
17112,jusched.exe,0
17204,VPNht.exe,0
17300,vmmem,0
17492,vpnkit-bridge.exe,0
17604,ApplicationFrameHost.exe,0
17628,steamwebhelper.exe,0
17740,SteamService.exe,0
17804,chrome.exe,0
17900,AuthManSvr.exe,0
17920,WmiPrvSE.exe,0
18084,wfcrun32.exe,0
18096,redirector.exe,0
18692,chrome.exe,0
18760,wslhost.exe,0
18768,conhost.exe,0
18788,dllhost.exe,0
18984,Code.exe,0
18988,wsl.exe,0
19092,chrome.exe,0
19132,conhost.exe,0
19148,com.docker.proxy.exe,0
19160,conhost.exe,0
19204,chrome.exe,0
19500,chrome.exe,0
19568,Discord.exe,0
19820,chrome.exe,0
20296,chrome.exe,0
20404,conhost.exe,0
20716,chrome.exe,0
20732,Code.exe,0
20944,chrome.exe,0
20964,py.exe,0
21068,powershell.exe,0
21088,chrome.exe,0
21196,chrome.exe,0
21212,Code.exe,0
21304,svchost.exe,0
21380,Discord.exe,0
21772,chrome.exe,0
21828,chrome.exe,0
21940,Code.exe,0
22288,Code.exe,0
22372,RuntimeBroker.exe,0
22400,MoUsoCoreWorker.exe,0
22432,Discord.exe,0
22464,Code.exe,0
22484,chrome.exe,0
22512,Discord.exe,0
22668,Code.exe,0
22808,GitHubDesktop.exe,0
22960,powershell.exe,0
23000,svchost.exe,0
23268,chrome.exe,0
23540,conhost.exe,0
23684,Code.exe,0
23764,node.exe,0
23768,Code.exe,0
23952,svchost.exe,0
24520,Postman.exe,0
24556,chrome.exe,0
24852,Postman.exe,0
25448,GitHubDesktop.exe,0
25504,chrome.exe,0
25868,chrome.exe,0
26008,Code.exe,0
26012,chrome.exe,0
26024,chrome.exe,0
26036,chrome.exe,0
26056,GitHubDesktop.exe,0
26100,Code.exe,0
26244,svchost.exe,0
26320,chrome.exe,0
26468,chrome.exe,0
26484,Code.exe,0
26544,chrome.exe,0
26588,conhost.exe,0
26952,Code.exe,0
27036,svchost.exe,0
27172,chrome.exe,0
27224,chrome.exe,0
27324,chrome.exe,0
27412,svchost.exe,0
27456,chrome.exe,0
27568,chrome.exe,0
27740,chrome.exe,0
27768,Code.exe,0
27868,Postman.exe,0
28028,vpnht-service.exe,0
28036,chrome.exe,0
28180,Code.exe,0
28360,Code.exe,0
28572,chrome.exe,0
28692,python.exe,0
28792,Code.exe,0
28832,chrome.exe,0
29036,Code.exe,0
29280,chrome.exe,0
29344,powershell.exe,0
29440,node.exe,0
29476,chrome.exe,0
29648,chrome.exe,0
29672,cmd.exe,0
29752,chrome.exe,0
29864,chrome.exe,0
30072,chrome.exe,0
30092,Code.exe,0
30108,Code.exe,0
30216,chrome.exe,0
30568,vsls-agent.exe,0
30608,chrome.exe,0
